end,simple_time,filter_time,simplecount_time,filtercount_time,simplecount,filtercount
2500000,4.223670959472656,1.9204928874969482,0.25131702423095703,0.22785305976867676,150134,5569
5000000,6.047400951385498,2.6887760162353516,0.35285210609436035,0.3493058681488037,228415,7345
7500000,7.248505115509033,3.2372188568115234,0.4288959503173828,0.4004631042480469,266708,8703
10000000,8.59158992767334,3.9771790504455566,0.5132489204406738,0.47224998474121094,315875,10303
12500000,11.290649890899658,5.628679990768433,0.6272330284118652,0.5620770454406738,377147,12731
15000000,11.403625011444092,5.645055055618286,0.6682069301605225,0.6289169788360596,394207,13161
17500000,13.999578952789307,6.905596017837524,0.7427849769592285,0.7035510540008545,471816,16041
20000000,15.311609029769897,7.81967306137085,0.8879120349884033,0.7346417903900146,511190,17657
22500000,17.605074167251587,8.845764875411987,0.9208469390869141,0.8531439304351807,570339,20001
25000000,19.042988061904907,9.803405046463013,1.0888900756835938,0.9396998882293701,618876,21824
