end,simple,filter
2500000,0.05973505973815918,0.44844698905944824
5000000,0.08793902397155762,0.5877988338470459
7500000,0.09137892723083496,0.7180418968200684
10000000,0.1105501651763916,0.8339879512786865
12500000,0.13229894638061523,1.1280310153961182
15000000,0.15970301628112793,1.1553418636322021
17500000,0.20132017135620117,1.363368034362793
20000000,0.20740818977355957,1.5287251472473145
22500000,0.23850798606872559,1.7151050567626953
25000000,0.26938700675964355,1.8525118827819824
