end,simple_time,filter_time,simplecount_time,filtercount_time,simplecount,filtercount
2500000,4.182422161102295,1.85573410987854,0.1255018711090088,0.16914606094360352,150134,5569
5000000,6.024029970169067,2.5312860012054443,0.1812000274658203,0.23816800117492676,228415,7345
7500000,6.977024078369141,3.1143200397491455,0.21625018119812012,0.2819249629974365,266708,8703
10000000,8.374634981155396,3.726106882095337,0.25211477279663086,0.32473301887512207,315875,10303
12500000,10.759834051132202,5.3696129322052,0.33971405029296875,0.4085218906402588,377147,12731
15000000,11.111056089401245,5.481369972229004,0.36248016357421875,0.4266948699951172,394207,13161
17500000,13.556217908859253,6.843790054321289,0.43816304206848145,0.5204360485076904,471816,16041
20000000,14.991638898849487,7.59846305847168,0.4892759323120117,0.5461599826812744,511190,17657
22500000,16.83455801010132,8.650772094726562,0.5434260368347168,0.5773379802703857,570339,20001
25000000,18.594971895217896,9.747458934783936,0.5749680995941162,0.6137130260467529,618876,21824
