end,time_simple,time_filter,time_simplecount,time_filtercount,simplecount,filtercount
2500000,3.7657618522644043,1.5171990394592285,0.04970192909240723,0.43541502952575684,150134,5569
5000000,5.391000986099243,1.9983491897583008,0.07418179512023926,0.5773670673370361,228415,7345
7500000,6.453563928604126,2.548753023147583,0.07884097099304199,0.6887249946594238,266708,8703
10000000,7.686532020568848,2.9855430126190186,0.09473705291748047,0.8699028491973877,315875,10303
12500000,9.624942064285278,3.915627956390381,0.11794900894165039,1.058264970779419,377147,12731
15000000,9.923012018203735,3.9636409282684326,0.12034487724304199,1.0658960342407227,394207,13161
17500000,11.831337928771973,4.924221038818359,0.1445908546447754,1.334995985031128,471816,16041
20000000,13.160510063171387,5.724215030670166,0.17161893844604492,1.509152889251709,511190,17657
22500000,15.428112983703613,6.360851049423218,0.1968681812286377,1.672727108001709,570339,20001
25000000,16.397462844848633,6.96639609336853,0.21796393394470215,1.7500698566436768,618876,21824
