end,simple,filter
2500000,0.04549813270568848,0.41442298889160156
5000000,0.06490421295166016,0.576246976852417
7500000,0.08092999458312988,0.6814100742340088
10000000,0.0989680290222168,0.7968540191650391
12500000,0.1102290153503418,1.054980993270874
15000000,0.11903095245361328,1.0937840938568115
17500000,0.1458580493927002,1.282128095626831
20000000,0.17208385467529297,1.41485595703125
22500000,0.19287395477294922,1.6198770999908447
25000000,0.20658302307128906,1.784519910812378
